lemma,saliency rank,saliency score
sound,471,3.8674955709211076
cow,472,3.8636452853058767
process,473,3.8620188184327815
news,474,3.8586697099763487
agree,475,3.8576755317889915
recommendation,476,3.8469667590829166
manufacture,477,3.8413934227322155
sign,478,3.8333713627876254
man,479,3.832399999708505
girlfriend,480,3.822199057599574
bank,481,3.822123549002841
second,482,3.796304996359722
security,483,3.7930526790498744
name,484,3.7883577944518985
mine,485,3.770444479113894
death,486,3.767053583623877
suck,487,3.7624108998772092
injure,488,3.7569086841482937
crisis,489,3.7568517390742215
climb,490,3.750924896047162
discussion,491,3.7451119925802727
advertising,492,3.7241513862558766
exceed,493,3.7081294900792487
bed,494,3.704591685433573
online,495,3.6956702565901223
explanation,496,3.6825226325760907
wood,497,3.6591593284770507
absolutely,498,3.65640374456008
automatic,499,3.6547822750849512
future,500,3.6525321199803145
above,501,3.648647753104088
beauty,502,3.645980700054679
objective,503,3.618864707436706
datum,504,3.609205473346185
perfect,505,3.594720147496719
scene,506,3.588203582090473
earthquake,507,3.58220507539293
hospital,508,3.5771700455458224
health,509,3.5416636507048995
lesson,510,3.5354041014546054
pay,511,3.521799558438207
debate,512,3.5204552311066046
department,513,3.5132335007152147
summer,514,3.5030529242086637
view,515,3.489192439953668
worker,516,3.482819922367372
tire,517,3.4757522974333823
key,518,3.4729524302707477
double,519,3.461972158453938
download,520,3.4556469850974487
tear,521,3.4547764401309062
special,522,3.442371046585545
behavior,523,3.439604307114199
art,524,3.430786813074225
interesting,525,3.4253626837102074
metro,526,3.416807651168746
blame,527,3.414682762140714
daily,528,3.4113592093840186
single,529,3.4089752422301522
smile,530,3.408557693931627
belong,531,3.397956551086459
amount,532,3.397492894149103
young,533,3.3950862107669857
normal,534,3.3940251618386865
crowd,535,3.391429705668589
image,536,3.3833485249545716
depressed,537,3.375510979796224
file,538,3.367355474485014
pile,539,3.3644672714077535
slow,540,3.352722860676301
emotion,541,3.3391980756203967
achieve,542,3.338655429797513
sort,543,3.3319640023201247
annoying,544,3.3230959756679255
bike,545,3.3129538087482953
date,546,3.3109998272059626
rain,547,3.307826147646488
feeling,548,3.3042771253320087
generate,549,3.303348213143523
lunch,550,3.2963051284025555
gift,551,3.2919207618932464
notice,552,3.2909226805736287
uncle,553,3.2897525245893524
accident,554,3.2824667112798567
spring,555,3.282062118829773
dense,556,3.280959752857613
paper,557,3.280463936705511
growth,558,3.2783760612826045
race,559,3.2782938089784075
dinner,560,3.270306537026331
wave,561,3.267845939724465
kill,562,3.267581426772472
project,563,3.267392344707104
focus,564,3.2546264554172852
war,565,3.249673785969337
page,566,3.2280519397251926
