lemma,es,nl,en,zh
large,0.0023078250086224147,0.004366620942549276,0.0006970021738803518,0.00013187318962023923
some,0.002147686959389905,0.0013810006450424182,0.007047836002200162,0.003707991268487344
autonomy,5.7839279699222326e-05,2.4765885742626462e-05,7.495654511416608e-06,6.49693913455301e-05
crane,1.2876474885903736e-05,4.307812047740238e-05,1.3117395394979063e-05,1.4341292750810032e-05
volunteer,9.542013148348861e-05,0.00016763358492891787,0.0001606412457477972,0.00010432456680124136
clear,0.0017173107092131681,0.000869710143945459,0.00045456459827672094,4.0555841825546514e-05
imbalance,2.160060119296555e-05,2.5007897655420857e-06,7.02717610445307e-06,9.33851620982979e-06
part,0.0027730138781975233,0.0013420367270825205,0.001670921934116851,2.0144513538347116e-05
erosion,7.2561242842389136e-06,2.1781072151495585e-06,5.200110317295272e-06,1.587547755671064e-05
journey,0.0006621527981230043,0.00039689953698280846,0.00023517616029569607,0.00010926063965500853
visit,0.0007165527587973271,0.0009821650127572546,0.0008662634223162781,0.0006879151262283901
rhetoric,1.9209855041511114e-05,1.347199647888801e-05,2.267435489703524e-05,0.0003246468456660113
ski,3.1457186203347894e-05,3.283294950243964e-05,4.019544731747156e-05,2.9683140809816115e-05
succulent,6.962523879674334e-06,4.0335318799065897e-07,4.919023273117149e-06,6.203442910815503e-06
timely,5.37288740353182e-05,3.2026243126458325e-05,1.9769788773861304e-05,0.00016028896037300703
probe,1.1324587033205241e-05,6.2923097326542805e-06,1.616250504024206e-05,1.9477476666216416e-05
infinite,0.00017301452411841342,4.412683876617809e-05,2.909250907243571e-05,0.0002259920922778809
fungi,1.3253961120343912e-05,7.905722484616915e-06,2.389239875514044e-06,2.2012216780313075e-06
demon,0.00010716414766607181,1.0809865438149661e-05,4.609827524521214e-05,4.3357396688495446e-06
amazing,3.179272952285027e-05,0.0015764655999426916,0.0012698107220746697,8.564753438158178e-05
financial,0.000253964349948362,0.0003047736688457419,0.0001665909215162341,0.0002082489114792043
psoriasis,4.152348578841922e-06,1.8554246647570314e-06,1.8270657871577981e-06,2.668147488522797e-06
contemporary,6.57245477075282e-05,7.034479598557093e-05,7.387904477814994e-05,7.217338956454165e-05
elixir,4.110405663904124e-06,1.3714008391682405e-06,2.998261804566643e-06,2.0077809851134048e-05
thumb,1.5434992697109364e-05,7.784716528219718e-05,6.572752049698438e-05,3.835462014751521e-05
millennium,3.3973761099615726e-05,8.389746310205706e-06,1.0540764156679605e-05,1.667592180326748e-05
dramatic,2.8730896732391075e-05,5.663078759388852e-05,5.6873278605373515e-05,1.687603286490669e-05
penguin,2.3068603215788453e-05,5.324262081476698e-06,4.2444143670896546e-05,4.92273211632456e-05
strand,7.549724688803494e-06,2.742801678336481e-06,3.527642404435441e-05,7.737627716716111e-06
obstetric,2.222974491703251e-06,2.420119127943954e-06,1.4991309022833216e-06,1.1806552636713376e-05
directly,0.00024033290259357792,0.0006927994356927559,0.00014372917525641346,0.001418787427021997
antelope,1.132458703320524e-06,8.873770135794497e-07,2.201848512728629e-06,6.203442910815503e-06
musketeer,4.02651983402853e-06,4.275543792700985e-06,2.4829355569067515e-06,4.735961792127964e-06
relative,0.00028303079000025546,4.299744983980425e-05,7.640882817575305e-05,0.00014001103946023377
grammar,1.0695443309138283e-05,8.631758223000101e-06,3.729088119429762e-05,5.356306083209515e-05
assumption,8.929646590257022e-05,2.0571012587523607e-05,3.916479482215178e-05,9.438571740649394e-05
ointment,6.249494325731781e-06,8.309075672607576e-06,3.045109645262997e-06,8.53807196327295e-06
priesthood,5.326750197100243e-06,1.6134127519626359e-06,5.5280452021697485e-06,2.2679253652443774e-06
slum,2.3907461514544396e-06,5.082250168682303e-06,6.7929369009713005e-06,1.4007774314744682e-06
oscillation,5.578407686727026e-06,3.226825503925272e-07,5.153262476598918e-07,2.534740114096657e-06
join,3.2631587821606216e-05,0.00020458073694886223,0.0007561709966798466,0.0003925511992489165
elegant,6.614397685690616e-05,2.1216377688308662e-05,3.8040446645439284e-05,8.938294086551369e-05
repression,6.350157321582495e-05,2.8880088260131183e-05,4.591088388242672e-06,5.629791200783101e-05
eczema,7.969153838181466e-07,6.050297819859885e-06,4.216305662671842e-06,4.202332294423405e-06
hills,2.059397123445842e-05,2.6621310407383494e-05,7.500339295486243e-05,3.5352954222927058e-06
applause,8.459885942953693e-05,3.6140445643963046e-05,1.7802179464614444e-05,0.00010198993774878391
petrify,5.704236431540418e-06,2.904142953532745e-06,4.403697025457258e-06,2.748191913178481e-05
relate,0.00022649174066410483,4.267476728941172e-05,0.0002668453006064312,0.0004219675253098803
learn,0.0011069154681234057,0.001339939290504969,0.0015008642723890867,0.0008174536867961719
