lemma,es,nl,en,zh
oscillation,1.1028411313502413e-05,2.7086764323481056e-06,1.1467902817473767e-05,6.812731632875523e-06
join,1.2582888679271889e-05,0.00019615512354211208,0.0003172079379265548,4.672064487447473e-05
elegant,0.0004090353286542129,0.0002285256543521581,6.517987584883417e-05,0.0007605021721495139
repression,0.00022192714896739318,0.00015859220226839893,2.893189316269172e-05,6.917542888765923e-06
eczema,0.0,3.07881346973342e-05,1.4887418094546919e-05,1.5082670705540839e-05
hills,2.6949335553118e-05,3.376822665901123e-05,0.0001309015237896994,0.0001680695771475779
applause,3.836854784289303e-05,0.00011550546355727125,8.681697934680717e-05,0.00019751336676535714
petrify,6.7110490711908175e-06,6.9532003263369e-06,0.0,1.5629207863655605e-05
relate,1.968454476185138e-05,4.5559657275182925e-05,4.809335779957599e-05,6.751349708900219e-05
learn,0.001113119054343622,0.0015106482978594455,0.0008905237031140652,0.0001462722138634363
effect,9.86514458167087e-05,7.137089454641725e-05,0.00015205178106482618,0.00047718858175618275
law,0.0011716081122396813,0.0004939117619887956,0.0014371965256661557,0.0019491791850958441
legend,0.0001906494938262253,6.32090936398223e-05,0.0001718961110535799,0.00013708764010652782
rugge,2.2008027459336576e-05,5.662240118904805e-05,0.0,3.932778147230116e-05
container,0.00041964107902398414,6.738782305004443e-05,0.0003361587593451413,0.00019872476157976703
wolf,6.079986064700398e-05,8.138134869439344e-05,0.00012982438471622918,0.00022025652911520586
retro,1.0611340034170989e-05,5.6265258725210405e-06,1.2171595133004995e-05,0.00010498461579777098
onion,8.867338100314509e-05,9.8801182543664e-06,0.00011084239952424375,4.7189934521284174e-05
delicate,0.00037507671375040265,5.627056803517566e-05,0.00019834650519795908,6.583848534801593e-05
adverb,8.992805755395702e-06,0.00010225273767979669,5.989998580738361e-05,0.00013499569285974644
temperature,0.0005177101891617169,0.00027197348268162655,0.0005046045752206147,0.0003434402349518572
decision,0.000566529312845733,0.0001779804142391652,0.0003170264002829257,0.0002272068845488819
gluten,2.2681848270968227e-05,7.066071756916396e-06,2.9827196301951908e-05,1.152923814794318e-05
show,0.0003332821994806363,0.000362807899866792,0.0011964338605319148,2.263073061826638e-05
each,1.1181971938667817e-05,7.547989369421725e-05,2.947542080279262e-05,5.9952038369304646e-06
excuse,0.00016112389416046707,0.00010188754739044739,0.0001583387383581184,0.00029551064050957503
disaster,0.0003759163526372086,0.0006144813496598451,0.00030903714903009573,0.0002483428542020832
track,0.0002842808671885397,0.0,0.0002530274324229527,0.00014744849844205608
internal,0.00018810685699389954,1.4137954587883375e-05,4.0878541482418945e-05,2.6791554587267953e-05
worsen,2.64494286923403e-05,9.704466642513354e-06,3.8430793826477325e-06,6.072596938962516e-05
preservative,0.0,0.0,2.3418764988009603e-06,0.0
dusk,4.18190704168638e-05,3.485386719182284e-05,0.00011324310664464071,0.00031942888515792473
resonance,7.752418754651468e-06,2.7086764323481056e-06,1.3144710189223549e-05,0.0
wash,0.0001567030897737761,0.0006697258865040786,0.0003442937994300669,0.00011444486877807627
ambush,1.104734190175953e-05,0.0,6.996573956715514e-06,3.829351781330756e-05
influx,0.0,0.0,2.4705510317021145e-06,5.916319575918211e-06
straight,0.0003975946006101279,0.0,0.0005303048407355118,9.299798352773459e-05
championship,7.038192366469902e-05,2.6304632917094498e-05,2.1043234978602743e-05,0.0
hemp,0.0,5.727901755029112e-06,2.2818384678859724e-05,8.146876464044207e-05
opinion,0.0003987201010543754,0.0006889698711234749,0.0003651719945906542,0.0004257199156657703
online,5.771363828267321e-05,2.6324211116698173e-05,0.00010847082598139221,1.740518510201357e-05
pillow,0.00016875156105678615,0.0005488826881036286,0.00031277092497125733,0.0002316126658722828
cavity,5.6981389354209297e-05,0.00011355425220077782,6.418839003160069e-05,0.0001595586073292515
pie,9.604550112121036e-05,8.570107633512808e-06,0.0007271877019905061,0.0001426365514339175
marines,0.0,0.0,4.129434204673128e-05,2.211345677556315e-05
compensation,2.218761905376135e-05,6.862469001719982e-05,2.6937964191381572e-05,0.00010936991578668569
