lemma,classification
player,en
process,nl
equality,zh
burn,zh
corruption,es
shoe,es
decoration,nl
experience,es
fortress,es
pyramid,zh
sentence,en
wheel,es
boy,en
situation,zh
navy,en
uniform,nl
drunk,nl
membrane,zh
right,nl
prisoner,es
southern,zh
tube,nl
island,en
storm,en
shame,nl
rotation,zh
integrity,zh
wide,en
addiction,nl
characteristic,es
achieve,zh
pencil,es
cement,zh
pride,en
gymnastic,es
regret,zh
practice,zh
bacteria,zh
difference,es
jury,en
backpack,zh
elephant,zh
surname,zh
nerve,es
ride,en
support,es
concern,es
recognition,es
finger,es
brush,en
expose,nl
sweater,nl
department,es
myopia,zh
dictatorship,es
specie,nl
fork,en
fuel,en
block,en
mystery,es
center,en
stone,nl
ink,nl
autumn,nl
dusk,zh
again,en
training,nl
concert,nl
improvement,nl
ornament,es
elevator,es
candle,zh
adjective,zh
weed,en
optimistic,zh
bullying,nl
report,nl
crown,nl
active,zh
spring,zh
coke,nl
duty,en
opposition,zh
belief,zh
connection,es
crow,zh
suspicion,zh
hatred,nl
disappointment,zh
drawer,es
hygiene,zh
slow,nl
ironic,zh
headphone,zh
period,en
check,en
possibility,es
confident,zh
rap,nl
crush,nl
cup,en
string,en
pension,nl
three,es
curiosity,es
count,es
patient,zh
container,es
planet,es
invent,zh
inequality,es
recommendation,zh
enemy,zh
fierce,zh
luxurious,zh
marble,zh
perfect,en
misery,nl
crop,zh
deaf,nl
milk,zh
canvas,nl
alien,zh
flower,nl
puzzle,en
machine,zh
dormitory,zh
paint,nl
reason,zh
jump,nl
congress,en
sunset,zh
arctic,zh
gene,zh
lettuce,nl
banana,zh
insight,nl
feathers,es
join,en
pole,en
sew,nl
forward,es
concentration,es
insect,en
status,zh
lift,en
hear,en
garage,nl
publish,nl
damage,es
breakfast,es
melancholy,zh
sticky,en
violin,zh
signal,es
smiley,zh
messy,en
area,en
formality,es
tram,nl
remember,en
spiritual,nl
expression,es
objectivity,zh
split,en
course,zh
satisfaction,es
banquet,zh
progress,zh
secret,en
magazine,zh
goddess,zh
soul,es
command,zh
gem,zh
handmade,zh
conflict,es
revolt,zh
scientist,zh
glory,zh
champagne,nl
behind,zh
breath,nl
menstruation,zh
strap,nl
guard,en
wish,zh
sink,en
diversity,es
salary,es
basin,zh
achievement,zh
similar,es
carnival,nl
husband,en
ass,en
consequence,nl
remove,es
bush,en
grandparent,es
revolver,es
tennis,en
blame,es
promise,en
satellite,zh
innovation,zh
unit,zh
interview,zh
single,es
lunch,en
patience,es
headache,nl
gym,en
window,en
tape,es
typhoon,zh
restricted,nl
disappear,zh
serie,es
die,nl
foot,es
perspective,zh
muscle,es
interested,zh
hardness,es
urgent,zh
pedestrian,zh
tragedy,zh
bottle,en
meadow,nl
corpse,nl
appearance,nl
chemical,en
consciousness,zh
south,es
rough,en
perform,zh
republican,en
tight,en
stretch,en
normal,nl
creative,nl
length,zh
season,es
repeat,zh
outbreak,zh
reform,zh
storage,en
martyr,zh
reverence,nl
mark,en
celebrity,zh
partner,zh
must,nl
but,zh
strawberry,zh
dessert,es
belt,en
candy,nl
wonder,en
fourth,es
insult,es
opposite,es
launch,es
plus,en
mindset,zh
royalty,en
flight,en
worm,en
necklace,zh
project,es
association,nl
electronic,zh
tide,zh
circus,nl
updated,zh
use,es
leg,es
clarity,zh
injustice,es
receive,es
buy,en
arrive,nl
biscuit,zh
detective,zh
destroy,en
escape,es
high,es
minute,en
wool,nl
mentor,zh
colleague,nl
sting,en
hand,zh
service,es
governance,nl
contrast,nl
pure,nl
witch,en
molecule,zh
attraction,es
prohibit,zh
planning,zh
loose,en
blind,zh
speaker,en
fried,es
urine,nl
stair,zh
scarf,zh
housing,es
chat,zh
voice,es
feminist,zh
dwarf,zh
temptation,zh
huge,zh
trick,en
skydiving,zh
innocent,es
pack,en
factory,zh
bean,en
aesthetic,es
advantage,nl
wizard,en
introduce,es
panther,zh
sacrifice,zh
celebration,en
constellation,zh
private,en
gala,zh
medical,en
mask,zh
hollow,es
will,en
rope,en
devil,en
frog,zh
architecture,es
boxing,zh
cheat,en
origin,es
monster,en
decorate,es
statue,en
understand,es
principle,es
pilot,zh
nest,nl
hall,nl
stability,zh
interest,zh
merchant,zh
kidnapping,zh
sparrow,zh
spread,zh
noun,zh
spark,zh
date,en
sort,en
attack,en
laboratory,nl
propaganda,es
arc,es
collapse,zh
tooth,en
mode,es
democracy,zh
infect,zh
charisma,zh
recipe,es
early,nl
loser,en
mushroom,zh
miss,zh
crab,zh
live,es
performance,nl
beef,zh
scatter,zh
jade,zh
plot,en
observation,zh
bullet,zh
policy,zh
fantasy,es
bacon,en
message,nl
distance,es
curtain,zh
independent,zh
writer,zh
mayonnaise,nl
metropolis,zh
marine,es
pond,nl
nobility,zh
frequently,zh
deer,en
saving,es
curious,nl
fly,es
hip,nl
usual,en
frame,en
grandfather,es
export,zh
confidential,zh
sunglass,zh
collection,nl
agree,zh
artist,es
defensive,zh
organism,es
comparison,zh
relative,zh
imperial,zh
official,zh
cycle,es
tower,nl
dove,zh
west,en
classify,zh
list,en
concrete,nl
measurement,en
charity,en
express,es
diligent,zh
shadow,es
hammer,nl
master,es
herb,nl
eight,en
bomb,en
basis,zh
wall,en
throat,nl
east,zh
protein,zh
strategy,es
screen,en
deep,en
sum,es
enter,zh
capital,es
kitten,zh
mini,nl
lungs,nl
musician,es
debt,es
mold,en
daisy,zh
tail,en
stripe,nl
shelter,en
aggressive,en
startup,zh
seasonal,zh
skeleton,nl
bat,en
livestock,es
envelope,zh
throw,nl
nuclear,zh
mosquito,es
armor,en
pet,zh
scrap,es
agile,es
hay,en
angle,zh
maintenance,zh
girlfriend,zh
taxation,nl
sickle,zh
insomnia,zh
adult,es
treasure,en
chicken,zh
watercolor,zh
mud,nl
heating,nl
wander,zh
grace,en
nebula,nl
vagina,en
skill,en
local,es
wear,zh
butterfly,zh
stand,en
navigation,zh
rape,zh
childbirth,nl
acceleration,zh
root,es
theorem,nl
trade,nl
landowner,zh
today,en
missile,zh
friction,zh
philosophy,zh
suitable,zh
pearls,zh
employment,es
assist,en
copy,en
moderate,zh
temperature,es
joke,en
harmony,es
first,zh
fertility,zh
expedition,zh
moat,nl
chest,nl
humility,es
basket,nl
bay,zh
clumsy,nl
stomach,en
innocence,es
sympathy,zh
reporter,zh
architect,nl
scar,zh
professor,nl
panic,nl
strip,nl
prey,zh
violation,zh
eagle,zh
clock,es
habit,es
depression,es
divide,es
loyal,es
idiot,en
syrup,nl
president,en
platform,zh
fishing,es
bond,en
fairy,zh
wax,en
standard,es
excuse,zh
rocket,zh
sense,es
seagull,zh
rhythm,zh
countryside,zh
skating,nl
vote,nl
vulnerable,nl
resolution,es
tap,en
track,es
restoration,nl
title,es
brake,nl
brother,es
pine,zh
jealousy,zh
prevent,nl
plum,zh
parachute,zh
symphony,zh
